"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of February 1, 2019",,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
New York ,New York 74086,Active,299,105,3,1,0,1,23,0,0,173,605
New York ,New York 74086,Inactive,68,27,2,0,0,0,16,0,0,42,155
New York ,New York 74086,Total,367,132,5,1,0,1,39,0,0,215,760
,,,,,,,,,,,,,
New York ,New York 74087,Active,532,143,2,0,1,1,28,0,0,246,953
New York ,New York 74087,Inactive,77,41,0,0,0,0,4,0,0,50,172
New York ,New York 74087,Total,609,184,2,0,1,1,32,0,0,296,"1,125"
,,,,,,,,,,,,,
New York ,New York 74088,Active,509,113,5,0,1,0,32,0,1,214,875
New York ,New York 74088,Inactive,53,33,0,0,0,0,5,0,0,27,118
New York ,New York 74088,Total,562,146,5,0,1,0,37,0,1,241,993
,,,,,,,,,,,,,
New York ,New York 74089,Active,401,129,3,0,1,1,24,0,0,163,722
New York ,New York 74089,Inactive,56,25,0,0,1,0,3,0,0,39,124
New York ,New York 74089,Total,457,154,3,0,2,1,27,0,0,202,846
,,,,,,,,,,,,,
New York ,New York 74090,Active,410,104,0,1,3,0,25,0,1,189,733
New York ,New York 74090,Inactive,67,18,1,0,0,0,12,0,0,33,131
New York ,New York 74090,Total,477,122,1,1,3,0,37,0,1,222,864
,,,,,,,,,,,,,
New York ,New York 74091,Active,535,150,2,1,2,1,35,0,1,258,985
New York ,New York 74091,Inactive,84,57,1,0,0,0,16,0,0,57,215
New York ,New York 74091,Total,619,207,3,1,2,1,51,0,1,315,"1,200"
,,,,,,,,,,,,,
