KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
37081,59,84,53,90,29,111,15,25,5,22,35,36.3890566037736,37.884555555555536,38.540238095238095,37.26542372881355
37088,28,37,22,25,8,41,2,5,0,3,18,46.52545454545455,45.736799999999995,46.81054054054054,46.42714285714286
50002,45,63,42,1,10,73,0,0,0,0,29,44.654761904761905,34.83,44.495396825396824,45.6071111111111
50003,125,158,121,2,23,187,0,1,0,1,53,42.22842975206611,46.125,42.06981012658228,40.61064
50004,47,53,33,3,12,57,0,2,1,1,12,38.21060606060607,39.166666666666664,37.95207547169811,38.246595744680846
50005,116,175,123,54,13,164,3,21,2,9,66,47.7630081300813,52.061851851851834,47.04462857142856,45.53258620689654
50006,100,128,78,33,14,139,2,17,3,16,41,41.252179487179504,39.50909090909092,42.21023437500001,39.880300000000005
50007,63,86,69,19,12,88,2,10,1,7,33,46.51666666666669,45.52052631578948,43.55686046511627,44.59285714285714
50008,83,126,91,33,11,137,3,13,0,10,51,41.80604395604397,47.67878787878789,43.86690476190475,43.42566265060242
50009,89,107,82,38,19,125,3,17,1,15,33,40.28658536585365,45.02394736842106,41.06757009345793,40.05573033707865
50010,102,114,33,30,18,129,3,4,0,3,22,44.7569696969697,45.313,41.9527192982456,40.74274509803921
50012,79,107,68,24,9,108,0,13,2,13,34,39.792941176470585,41.59083333333333,41.65523364485982,40.63949367088609
50015,79,89,52,23,6,97,1,17,0,14,21,41.007307692307684,44.57608695652173,42.750112359550556,40.945822784810105
50016,61,137,95,28,14,102,3,11,0,4,86,55.9962105263158,55.53642857142857,58.485474452554776,56.99295081967217
50017,75,115,90,44,9,95,2,17,0,8,56,53.36488888888888,55.9725,54.621043478260866,55.625333333333316
50018,75,95,62,30,12,97,0,20,1,18,28,40.72774193548387,40.71033333333332,41.499052631578955,39.11546666666669
50019,99,116,79,32,14,126,3,21,3,15,30,42.7706329113924,43.1175,41.623017241379316,40.75444444444445
50020,66,87,75,13,8,107,1,5,1,3,32,41.09213333333334,41.40461538461538,42.17218390804597,41.05424242424242
50021,106,131,91,22,11,143,0,12,0,9,36,43.31846153846153,43.31181818181818,42.875343511450374,40.837358490566025
50022,45,54,42,5,7,62,2,1,1,1,17,44.21500000000001,36.908,41.23407407407407,37.94111111111111
50024,1,0,0,0,0,1,0,0,0,0,0,,,,34.17
50025,19,30,14,4,6,28,0,2,0,2,12,39.36714285714286,34.935,41.874333333333325,35.66947368421053
50026,90,125,83,30,5,116,2,12,0,9,46,44.44759036144576,48.110666666666674,45.82688000000001,43.98055555555556
50027,98,137,104,28,18,137,1,10,0,5,54,44.3739423076923,50.829285714285724,46.11562043795622,44.667244897959186
50028,99,124,83,20,16,134,0,10,2,9,37,40.978795180722905,39.985499999999995,40.85693548387097,39.74313131313133
50029,95,115,84,30,16,119,6,14,1,12,34,43.400952380952376,43.69533333333334,42.9886956521739,42.675473684210516
50030,76,107,72,14,16,120,1,8,0,6,39,37.97444444444446,41.629999999999995,39.30616822429906,40.041973684210525
50031,84,92,66,28,18,120,2,12,1,10,23,40.51227272727273,40.160714285714285,37.45152173913044,38.0077380952381
50032,72,98,67,18,16,114,1,6,0,5,37,40.40492537313435,41.135555555555555,41.5554081632653,37.90874999999999
50033,102,139,96,34,23,151,1,19,0,16,47,42.60197916666668,46.890882352941176,42.11784172661871,41.134803921568626
50034,75,99,72,21,21,115,1,14,3,11,34,37.71972222222222,43.543809523809514,38.159090909090914,34.20080000000001
50035,83,111,75,21,20,122,2,12,3,10,39,38.426799999999986,43.35476190476191,39.38675675675673,39.36493975903614
